,is_failure,is_root,is_valid,not_valid_count,user,ip_failure,ip_success,no_failure,td,first,ts
0,1,1,1,0,root,2502,0,14508,2,0,1524438528.0
1,1,1,1,0,root,3639,0,14673,2,0,1524440121.0
2,1,1,1,0,root,2964,0,14609,1,0,1524439751.0
3,1,1,1,0,root,1221,0,14589,3615,0,1524439631.0
4,1,1,1,0,root,3886,0,14597,3,0,1524439673.0
5,1,1,1,0,root,63,0,14627,940,0,1524439928.0
6,1,1,1,0,root,1265,0,14386,3,0,1524436948.0
7,1,1,1,0,root,3733,0,14370,3,0,1524436840.0
8,1,1,1,0,root,3886,0,11036,2,0,1524412611.0
9,1,1,1,0,root,2132,0,14565,5,0,1524439100.0
10,1,1,1,0,root,2616,0,9462,4,0,1524402859.0
11,1,1,1,0,root,2242,0,14455,3,0,1524437659.0
12,1,0,0,2,backup,1137,0,14504,2,0,1524438516.0
13,1,0,0,24,es,101,0,14580,2,0,1524439505.0
14,1,0,0,2,test,2,0,233,2,0,1524443076.0
15,1,0,0,22,guest,102,0,14583,2,0,1524439521.0
16,1,1,1,0,root,2278,0,14669,3,0,1524440110.0
17,1,1,1,0,root,2877,0,14555,4,0,1524438862.0
18,1,1,1,0,root,582,0,14426,4,0,1524437374.0
19,1,1,1,0,root,1274,0,7142,8,0,1524380165.0
20,1,0,0,46,guest,253,0,13830,2,0,1524430929.0
21,1,1,1,0,root,3464,0,14660,3,0,1524440092.0
22,1,1,1,0,root,3327,0,14185,4,0,1524435229.0
23,1,1,1,0,root,30,0,1089,76,0,1524446977.0
24,1,1,1,0,root,67,0,514,94,0,1523606299.0
25,1,1,1,0,root,28,0,1047,61,0,1524446776.0
26,1,1,1,0,root,30,0,1181,97,0,1524447435.0
27,1,0,0,390,user,390,0,14676,2,0,1524440211.0
28,1,1,1,0,root,30,0,1153,84,0,1524447302.0
29,1,1,1,0,root,30,0,1178,100,0,1524447406.0
30,1,1,1,0,root,83,0,44433,62,0,1523929699.0
31,1,0,0,60,yangk,134,0,12763,2,0,1522744823.0
32,1,1,1,0,root,30,0,1087,69,0,1524446957.0
33,1,1,1,0,root,3552,0,9413,2,0,1524402067.0
34,1,1,1,0,root,2585,0,14205,3,0,1524435459.0
35,1,1,1,0,root,3365,0,14475,4,0,1524437948.0
36,1,1,1,0,root,2103,0,14621,5,0,1524439796.0
37,1,1,1,0,root,1102,0,13763,3,0,1524430518.0
38,1,0,0,2,user,2,0,1332,3,0,1524448724.0
39,1,1,1,0,root,26,0,2363,228,0,1524452472.0
40,1,1,1,0,root,30,0,2351,113,0,1524452425.0
41,1,0,0,4,wzhang,84,0,7500,2,0,1524590780.0
42,1,0,0,14,user,78,0,44248,2,0,1523435784.0
43,1,1,1,0,root,63,0,70948,103,0,1523585069.0
44,1,1,1,0,root,30,0,2112,65,0,1524451057.0
45,1,1,1,0,root,80,0,46149,125,0,1522585943.0
46,1,0,0,1,pydio,163,0,63046,0,0,1524110426.0
47,1,1,1,0,root,30,0,2365,114,0,1524452482.0
48,1,1,1,0,root,60,0,93225,112,0,1524275327.0
49,1,1,1,0,root,2491,0,14487,4,0,1524438032.0
50,1,0,0,38,usuario,164,0,85532,3,0,1524236651.0
51,1,0,0,2,admin,2,0,1890,2,0,1524450426.0
52,1,0,0,2,hikvision,5,0,49001,2,0,1523464158.0
53,1,0,0,4,admin,4,0,2114,3,0,1524451061.0
54,1,0,0,2,username,230,0,14630,3,0,1524439973.0
55,1,0,0,4,pi,4,0,2475,0,0,1524453325.0
56,1,0,0,47,ubnt,247,0,14665,1,0,1524440099.0
57,1,0,0,68,user,81,0,102379,3,0,1524337510.0
58,1,1,1,0,root,1,0,2545,0,1,1524453961.0
59,1,1,1,0,root,1,0,2572,0,1,1524454375.0
60,1,1,1,0,root,1,0,2574,0,1,1524454383.0
61,1,1,1,0,root,1,0,2628,0,1,1524455130.0
62,1,0,0,300,user,300,0,13046,1,0,1524424875.0
63,1,0,0,2,user,2,0,2681,3,0,1524456302.0
64,1,0,0,10,ubnt,10,0,2693,5,0,1524456584.0
65,1,1,1,0,root,1358,0,14141,6,0,1524435003.0
66,1,0,0,2,test,90,0,2801,2,0,1523173302.0
67,1,1,1,0,root,136,0,27460,97,0,1523800072.0
68,1,1,1,0,root,118,0,97852,76,0,1524301315.0
69,1,1,1,0,root,41,0,3319,99,0,1524459983.0
70,1,0,0,6,ubuntu,89,0,71976,2,0,1523595457.0
71,1,0,0,1,mysql,41,0,3300,95,0,1524459880.0
72,1,0,0,4,user,93,0,10141,2,0,1522728196.0
73,1,1,1,0,root,60,0,6355,99,0,1524372183.0
74,1,1,1,0,root,30,0,3686,59,0,1524461668.0
75,1,1,1,0,root,30,0,3735,85,0,1524461926.0
76,1,1,1,0,root,8,0,3307,69,0,1524459895.0
77,1,1,1,0,root,8,0,3296,65,0,1524459850.0
78,1,1,1,0,root,2,0,11212,-43928,0,1524415367.0
